text;topics;sentiments;date;rating;source;id;author;title;product_category;sentiment
Автокредит одобрили, но проценты выше, чем обещали.;Кредитная карта;нейтрально;02.10.2025;3;gold;1;Клиент банка;Автокредит одобрили но проценты выше;Кредитование;
Мобильный банк удобен, но иногда возникают проблемы с оплатой.;Мобильное приложение;нейтрально;02.10.2025;3;gold;2;Клиент банка;Мобильный банк удобен но иногда;Повседневные финансы и платежи - Мобильный банк;
Кредитную карту одобрили быстро, но лимит оказался слишком маленьким.;Кредитная карта;нейтрально;02.10.2025;3;gold;3;Клиент банка;Кредитную карту одобрили быстро но;Кредитование;
Кредитную карту одобрили быстро, но лимит оказался слишком маленьким.;Кредитная карта;нейтрально;02.10.2025;3;gold;4;Клиент банка;Кредитную карту одобрили быстро но;Кредитование;
Депозитный счет открыл легко, проценты радуют.;Кредитная карта;положительно;02.10.2025;5;gold;5;Клиент банка;Депозитный счет открыл легко проценты;Кредитование;
Интернет-банк работает медленно, нужно улучшить.;Мобильное приложение;отрицательно;02.10.2025;1;gold;6;Клиент банка;Интернет банк работает медленно нужно;Повседневные финансы и платежи - Мобильный банк;
Депозитный счет открыл легко, проценты радуют.;Кредитная карта;положительно;02.10.2025;5;gold;7;Клиент банка;Депозитный счет открыл легко проценты;Кредитование;
Снятие наличных в банкомате прошло без комиссии.;Другое;нейтрально;02.10.2025;3;gold;8;Клиент банка;Снятие наличных в банкомате прошло;Повседневные финансы и платежи - Дебетовые карты, Сбережения и накопления, Инвестиции;
Инвестиции через Газпромбанк принесли убытки, советник не помог.;Другое;нейтрально;02.10.2025;3;gold;9;Клиент банка;Инвестиции через Газпромбанк принесли убытки;Инвестиции;
Страховка путешественников покрывает все риски, сервис на уровне.;Другое;нейтрально;02.10.2025;3;gold;10;Клиент банка;Страховка путешественников покрывает все риски;Премиальные услуги, Инвестиции;
Сейфовая ячейка надежна, но доступ ограничен по времени.;Другое;положительно;02.10.2025;5;gold;11;Клиент банка;Сейфовая ячейка надежна но доступ;Премиальные услуги;
Инвестиции через Газпромбанк принесли убытки, советник не помог.;Другое;нейтрально;02.10.2025;3;gold;12;Клиент банка;Инвестиции через Газпромбанк принесли убытки;Инвестиции;
Отличное обслуживание в отделении Газпромбанка, но мобильное приложение часто зависает.;Обслуживание, Мобильное приложение;положительно, отрицательно;02.10.2025;3;gold;13;Клиент банка;Отличное обслуживание в отделении Газпромбанка;Повседневные финансы и платежи - Мобильный банк, Повседневные финансы и платежи;
Ипотечный кредит оформили быстро, но условия могли быть мягче.;Другое;нейтрально;02.10.2025;3;gold;14;Клиент банка;Ипотечный кредит оформили быстро но;Кредитование;
Вклад в Газпромбанке принес хороший доход, но проценты могли бы быть выше.;Кредитная карта;нейтрально;02.10.2025;3;gold;15;Клиент банка;Вклад в Газпромбанке принес хороший;Кредитование;
Дебетовая карта удобна, кэшбэк радует.;Другое;положительно;02.10.2025;5;gold;16;Клиент банка;Дебетовая карта удобна кэшбэк радует;Другое;
Негативный опыт похода в офис банка в Колпино. Дебетовую карту я, так и не получил, хотя она была уже готова (если верить смс-ке из банка). Более 40 минут пришлось потерять времени в ожидании обслуживания.;;;11.02.2025;1;sravni.ru;10016;Пользователь None;Обслуживание клиентов на нуле.;Повседневные финансы и платежи - Мобильный банк;positive
"5 декабря 2024 я оставил в офисе банка 2 запроса, и один запрос через тех поддержку, 9 февраля я получил ответ на один из своих запросов и тот не работает. При официальном времени выполнения запроса 30 дней, мой продлевали несколько раз и наконец через 2 месяца и 4 дня ответил. Меня кажется разбаловала тех поддержка Сбера которая решает вопросы в течении нескольких часов.

Запросы:

1. запросил предоставить как начислялись тревел милли за 2 месяца — проигнорировали
2. заменить номер телефона на сайте gpbtravel. RU (Там отслеживается начисление тревел миль в ГПБ) До этого долго пытался это сделать онлайн, сотрудники банка как обычно полная некомпетентность, а сотрудники one-to-treap через которых и работает «gpbtravel. ru»  Сказали что они поменяют по запросу банка. Написал запрос ждал 2 месяца, ответ банка — предлагают менять в приложении, а в приложении не меняется, снова тех поддержка one-to-treap (вот кто реально молодцы, быстро отвечают), а поменять телефон можно только по запросу банка.
3. Попросил через чат заменить личного менеджера, сказали поменяют. Ну вы поняли проигнорировали. А почему попросил поменять, просто по моему опыту общения со Сбером, личный менеджер это человек который решает твои вопросы в банке чтобы ты туда не ходил. А в ГПБ это просто фамилия человека, который даже не отвечает на твои письма.

А забыл упомянуть, у меня примемиум обслуживание в ГПБ.";;;10.02.2025;1;sravni.ru;10017;Сергей None;Отвратительное обслуживание;Повседневные финансы и платежи - Дебетовые карты;neutral
Акция 35% на всё. Уточнял 100 раз. Засчитываются покупки в календарный месяц. По многим категориям. Календарный месяц — это с 1 по 30 число. Так мне объяснили в банке. По другому и быть не может.  Баллы не начислили за декабрь. Покупка в Дикси — супермаркет по счёту бы ла 29 декабря. Оказлаось они извращаются. Покупка — это не день когда вы что-то купили. А когда завершилась транзакция. Это до 7 дней. То есть вы можете купить товар 24 числа. А засчитают его, как покупка следующего месяца. Так как покупка длилась С 24 по 1 число. Это наглый об\*\*\* и м\*\*\*\*\*\*\*. В отношении клиентов банка.;;;09.02.2025;1;sravni.ru;10018;Владимир None;О****** клиентов.;Другое;positive
"14.09.2024 Получил карту UnionPay в офисе банка. Мне были озвучены условия акции, что при ежемесячных тратах не менее 10000руб по карте в течении 3х месяцев, будут возвращены 5000руб, которые были списаны 16.09.2024.

По истечении 3х месяцев 5000 не возвращают, объясняя что были выполнены не все условия акции, а именно покупки надо было совершать только в определенных местах.  Когда оформляли мне карту, девушка работник Газпромбанка не об этом ничего не говорила.

Два обращения в банк результата не дали.

Заманивают, не озвучивая все условия, которые сам должен догадаться о существовании, найти на их сайте в определенном разделе.

Никому не рекомендую Газпромбанк.

Ездил с этой картой Union Pay Газпромбанка в ноябре на Кубу, нигде расплатиться не смог. А картой Сбербанка МИР платил везде.  Еще в декабре ввели санкции на Газпромбанк и их Union Pay оказался бесполезным вообще (хотя это уже не их вина).

В России этой картой тоже не везде можно провести оплату.

За что заплатил 5000 рублей не понимаю.";;;08.02.2025;1;sravni.ru;10019;Альберт None;Union Pay не возвращают 5т. Р.;Повседневные финансы и платежи;positive
Обходить этот банк стороной! Абсолютно некомпетентности менеджеры и нулевая техподдержка в приложении банка. Дозвониься до оператора невозможно! 01.12.2023Г оформила кредитную карту. Сразу нав\*\*\*\*\* финансовую страховку (иначе не оформляется карта). Через неделю в чате я потребовала её отключить. Бот не среагировал и никакую ссылку не прислал. До оператора не дозвониться! Страховку продолжали снимать в течении года, причём при посещении офиса в г. Энгельсе Абсолютно некомпетентные сотрудники уверял, что никаких платных опций не подключено! Причём деньги за погашение этой страховки они снимали с кредитной карты самостоятельно автоматически и считали это, как снятие наличных под 59% годовых! НО это ещё не все сюрпризы от Газпромбанка! При моём полном погашении кредитного лимита в льготный период в этот день я не имею права совершать новую покупку, иначе новый льготный период не обновляется и я попадаю под 55% годовых, как за пользование деньгами во внельготный период. Можно пользоваться снова кредитной картой только черещ сутки! Нигде в условиях пользования льготным периодом, ни при консультации с менеджером об условиях использования кредитной карты этого прописано не было и сейчас нигде этой информации также нет-ни на сайте банка, нигде! В итоге мне насчитали 40т. Р процентов за три месяца! И самое главное, ни в выписке от декабря, ни в выписке от января ою этих процентах ричего указано не было, как и в мобильном приложении банка! При моем сегодняшнем посещении банка менеджер сама впервые увидела такой сюрприз) Составила претензию в офисе. На рассмотрение 30! Дней. Такого м\*\*\*\*\*\* и о\*\*\*\* клиентов, в первую очередь связанную с абсолютно безграмотность сотрудниками офисов я ещё не видела ни в одном из банков! Не связывайтесь с этим банком! Очень слабые сотрудники и, приложение и техподдержка нулевая!;;;07.02.2025;1;sravni.ru;10020;Пользователь None;Кредитные карты-осторожно-о****!;Повседневные финансы и платежи - Дебетовые карты;negative
"Всем добрый день!

— Обратился в Газпромбанк (Кутузовский проспект, 43) с целью получения дебетовой карты для последующего открытия накопительного счета. Сижу, приходит куча сообщений, принимаю. И тут оказывается, что мне вместе с дебетовой открыли кредитную карту, а я ее уже в куче сообщений принял и договор подписал. На мой вопрос, сотрудник ответил, что у них все идет в полном пакете. Хорошо. Вишенкой на торте оказалось что надо еще оплатить карту Газпром-мобайл. Ха-ха-ха. А это еще для чего? А без нее не установится или не откроется онлайн-приложение, ответ уже точно не помню. Но оплатить нужно только один раз — 350 рубл. Хорошо. А давайте сразу оплатим кредитной картой? Давайте. Сказал что сразу погашу на кредитке 350 рубл. Сотрудник ответил, не надо, пару дней подождите. Хорошо. Подождал. По прошествии несколько дней посмотрел, опаньки, а я уже должен 280 рубл. , Так как расчетный период закончился. Эта сумма составляет 80 процентов от 350 рубл. Получается 960 рублей годовых. Хорошо живем, Газпромбанк! Погасил, кредитную карту закрыл. Деньги небольшие, но неприятно, поскольку «лишних» денег не бывает.

— Дебетовая карта бесплатная, но 99 рубл. За уведомления, правда сотрудник сразу предупредил и их можно отключить в личном кабинете.

— По накопительному счету проценты за декабрь выплатили аж 4 января. Мобильный банк до 4-го числа отдыхал? За январь проценты выплатили 1 февраля (суббота). Справедливости ради, стоит отметить, что в условиях накопительного указано что проценты выплачиваются в первый РАБОЧИЙ день, если день выплаты выпадает на выходные. Но все равно другие банки выплачивают по накопительному в последний день месяца независимо от дня недели.

— Посмотрел один из отзывов, опаньки, а у меня тоже подключены Газпром привилегии, пакет «Стандарт» — первый месяц бесплатно, со второго оплата — 299 рубл. Первого февраля отключил, но не знаю, снимут за февраль или нет, но 300 рубл. На карту закинул.

— Другая вишенка на торте — дозвон до оператора. Это отдельная песня. От 30 минут и более.

— Кстати два раза пробовал опубликовать отзыв на сайте, Не получилось. Такое ощущение, что Газпромбанк им доплачивает. Ну здесь и понятно, там на сайте требуются ответы банка, а на мои вопросы ответить им нечем.

Всем удачи!";;;06.02.2025;1;sravni.ru;10021;Пользователь None;Подводные камни/н****** услуги;Повседневные финансы и платежи - Ведение валютных счетов;negative
